age,workclass,education,gender,hours-per-week,occupation,income
26, Private, HS-grad, Female,30, Sales, <=50K
39, Private, Some-college, Female,75, Other-service, <=50K
25, Private, Bachelors, Male,40, Other-service, <=50K
54, Local-gov, Some-college, Male,30, Transport-moving, <=50K
44, State-gov, Masters, Male,60, Prof-specialty, >50K
34, State-gov, Masters, Male,38, Prof-specialty, >50K
21, Self-emp-inc, Some-college, Male,40, Exec-managerial, <=50K
50, Private, 5th-6th, Male,55, Handlers-cleaners, <=50K
33, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
40, Self-emp-inc, Assoc-acdm, Female,40, Exec-managerial, >50K
44, Private, Masters, Male,40, Exec-managerial, >50K
33, Local-gov, Assoc-acdm, Male,56, Protective-serv, <=50K
21, Local-gov, Some-college, Male,40, Adm-clerical, <=50K
35, Self-emp-not-inc, Bachelors, Female,60, Other-service, <=50K
43, Private, Some-college, Male,40, Sales, >50K
57, ?, 10th, Male,30, ?, <=50K
51, Local-gov, Masters, Male,45, Prof-specialty, <=50K
29, Private, HS-grad, Male,40, Craft-repair, <=50K
51, Local-gov, HS-grad, Male,40, Protective-serv, <=50K
35, Private, HS-grad, Male,40, Sales, <=50K
18, Private, 11th, Male,20, Sales, <=50K
58, Private, 10th, Male,50, Craft-repair, <=50K
57, Self-emp-inc, Some-college, Male,40, Exec-managerial, >50K
19, Private, HS-grad, Female,20, Sales, <=50K
37, Private, Some-college, Female,40, Other-service, <=50K
38, Private, HS-grad, Male,44, Sales, <=50K
45, Private, Some-college, Female,40, Adm-clerical, <=50K
27, Private, Some-college, Male,40, Prof-specialty, >50K
64, ?, 7th-8th, Female,40, ?, <=50K
38, Local-gov, Some-college, Male,72, Protective-serv, <=50K
30, Private, HS-grad, Male,30, Craft-repair, <=50K
46, Private, Bachelors, Male,40, Tech-support, <=50K
18, ?, 10th, Female,30, ?, <=50K
60, Private, HS-grad, Male,40, Sales, >50K
30, Private, HS-grad, Male,44, Transport-moving, <=50K
47, Private, Some-college, Male,40, Craft-repair, >50K
39, Private, Bachelors, Female,40, Exec-managerial, <=50K
42, Private, Some-college, Male,45, Craft-repair, >50K
27, Private, Some-college, Female,40, Adm-clerical, <=50K
44, Private, Some-college, Male,40, Sales, <=50K
33, Private, Bachelors, Male,40, Transport-moving, <=50K
54, Private, Bachelors, Male,50, Exec-managerial, >50K
58, Self-emp-not-inc, Some-college, Male,35, Farming-fishing, <=50K
45, Private, Bachelors, Male,30, Transport-moving, <=50K
59, Private, Some-college, Male,50, Machine-op-inspct, <=50K
29, Private, Assoc-acdm, Female,50, Priv-house-serv, <=50K
27, Private, HS-grad, Female,40, Machine-op-inspct, <=50K
44, Private, Masters, Male,20, Tech-support, >50K
44, Private, HS-grad, Male,40, Craft-repair, >50K
33, Private, Some-college, Male,70, Exec-managerial, >50K
27, Private, HS-grad, Male,40, Craft-repair, <=50K
33, Private, Bachelors, Male,55, Exec-managerial, >50K
55, Private, Assoc-voc, Female,40, Adm-clerical, <=50K
32, Self-emp-not-inc, Assoc-voc, Male,60, Prof-specialty, <=50K
31, Private, Assoc-voc, Male,45, Handlers-cleaners, <=50K
57, Self-emp-inc, Prof-school, Male,60, Prof-specialty, >50K
30, Private, Bachelors, Male,45, Exec-managerial, >50K
78, ?, HS-grad, Female,1, ?, <=50K
28, Private, Bachelors, Female,48, Sales, <=50K
30, Self-emp-not-inc, Some-college, Male,40, Sales, <=50K
29, Private, Masters, Male,40, Prof-specialty, >50K
66, Private, HS-grad, Female,3, Other-service, <=50K
60, Private, HS-grad, Male,45, Craft-repair, >50K
31, Private, Bachelors, Male,40, Prof-specialty, <=50K
26, Private, HS-grad, Male,40, Craft-repair, <=50K
24, Private, HS-grad, Male,45, Handlers-cleaners, <=50K
29, Private, Bachelors, Male,50, Sales, >50K
44, Private, HS-grad, Male,45, Tech-support, >50K
34, Local-gov, Bachelors, Male,55, Exec-managerial, >50K
59, Private, Bachelors, Male,43, Prof-specialty, >50K
23, Private, Bachelors, Male,24, Exec-managerial, <=50K
23, Private, 11th, Male,40, Other-service, <=50K
55, Local-gov, Assoc-voc, Female,35, Prof-specialty, <=50K
39, Self-emp-inc, HS-grad, Male,40, Exec-managerial, >50K
39, Private, 11th, Male,40, Craft-repair, <=50K
57, Private, 7th-8th, Male,75, Transport-moving, <=50K
35, Private, HS-grad, Female,40, Sales, <=50K
39, Local-gov, Assoc-voc, Male,48, Protective-serv, >50K
47, Private, HS-grad, Female,38, Sales, >50K
53, State-gov, Doctorate, Male,50, Adm-clerical, >50K
23, Private, Some-college, Male,25, Sales, <=50K
35, Private, Masters, Male,50, Craft-repair, >50K
44, Private, Some-college, Female,40, Farming-fishing, <=50K
28, Private, HS-grad, Female,25, Other-service, <=50K
26, Private, Bachelors, Female,40, Exec-managerial, <=50K
23, Private, HS-grad, Male,45, Exec-managerial, <=50K
32, Private, HS-grad, Male,25, Other-service, <=50K
49, Self-emp-inc, Some-college, Male,50, Transport-moving, >50K
36, Private, Some-college, Male,60, Craft-repair, <=50K
36, Private, HS-grad, Female,36, Other-service, <=50K
41, ?, 5th-6th, Male,40, ?, <=50K
21, Private, Assoc-acdm, Female,46, Adm-clerical, >50K
54, Self-emp-not-inc, Bachelors, Male,40, Exec-managerial, >50K
43, Private, Some-college, Female,40, Other-service, <=50K
35, Local-gov, Some-college, Female,40, Adm-clerical, <=50K
31, Private, Some-college, Male,50, Farming-fishing, >50K
46, Private, Some-college, Male,40, Craft-repair, <=50K
46, Private, HS-grad, Female,40, Sales, <=50K
56, Private, HS-grad, Male,40, Other-service, <=50K
45, ?, Masters, Female,1, ?, <=50K
21, Private, HS-grad, Male,40, Adm-clerical, <=50K
51, Private, Masters, Male,50, Exec-managerial, >50K
47, State-gov, Some-college, Male,20, Prof-specialty, <=50K
42, Private, 5th-6th, Male,40, Craft-repair, <=50K
19, Private, Some-college, Female,30, Sales, <=50K
25, Private, Bachelors, Male,40, Craft-repair, <=50K
37, Private, Masters, Male,60, Tech-support, >50K
35, Private, 12th, Male,40, Other-service, <=50K
40, Private, HS-grad, Male,30, Transport-moving, <=50K
57, Self-emp-not-inc, 11th, Male,15, Sales, <=50K
38, Private, HS-grad, Male,50, Tech-support, >50K
48, Private, 10th, Female,38, Sales, <=50K
34, Private, Some-college, Female,34, Other-service, <=50K
46, Federal-gov, Some-college, Male,40, Transport-moving, <=50K
30, Private, HS-grad, Male,38, Adm-clerical, <=50K
45, State-gov, Masters, Male,50, Protective-serv, <=50K
32, Self-emp-not-inc, Bachelors, Male,50, Prof-specialty, >50K
35, Private, HS-grad, Male,48, Machine-op-inspct, <=50K
62, Private, Some-college, Female,39, Craft-repair, >50K
56, ?, HS-grad, Male,40, ?, <=50K
50, Private, Assoc-voc, Male,40, Other-service, <=50K
25, Private, Bachelors, Male,40, Tech-support, <=50K
41, Private, Some-college, Male,33, Sales, <=50K
35, Private, HS-grad, Female,27, Other-service, <=50K
33, Private, Some-college, Male,41, Craft-repair, >50K
38, Private, Assoc-acdm, Female,40, Exec-managerial, >50K
37, State-gov, Bachelors, Male,40, Prof-specialty, <=50K
56, Private, HS-grad, Male,40, Machine-op-inspct, >50K
19, Private, 7th-8th, Male,32, Craft-repair, <=50K
31, Private, 9th, Female,40, Exec-managerial, <=50K
53, Local-gov, HS-grad, Male,40, Craft-repair, >50K
33, Private, HS-grad, Male,35, Handlers-cleaners, <=50K
72, Private, 1st-4th, Male,40, Other-service, <=50K
54, Private, HS-grad, Male,50, Transport-moving, >50K
30, Private, Bachelors, Female,40, Machine-op-inspct, <=50K
51, Private, Doctorate, Male,40, Prof-specialty, >50K
30, Private, HS-grad, Male,50, Craft-repair, >50K
30, Private, Bachelors, Male,50, Prof-specialty, <=50K
32, Private, Some-college, Male,16, Protective-serv, <=50K
30, Private, Some-college, Male,50, Sales, >50K
35, Private, Masters, Male,40, Adm-clerical, <=50K
40, Private, Some-college, Female,44, Adm-clerical, >50K
38, State-gov, Bachelors, Female,40, Prof-specialty, <=50K
19, Private, 10th, Female,30, Other-service, <=50K
32, Private, Some-college, Male,44, Prof-specialty, <=50K
49, Private, Masters, Female,40, Adm-clerical, <=50K
76, ?, Bachelors, Male,10, ?, <=50K
60, Private, Bachelors, Male,35, Prof-specialty, <=50K
60, Private, 9th, Male,40, Sales, <=50K
55, Private, Doctorate, Male,80, Exec-managerial, >50K
41, Private, Bachelors, Female,30, Tech-support, <=50K
24, Private, HS-grad, Male,40, Craft-repair, <=50K
53, Private, Masters, Male,60, Sales, >50K
69, State-gov, Some-college, Female,38, Adm-clerical, <=50K
71, ?, Some-college, Male,30, ?, <=50K
41, Private, HS-grad, Female,40, Adm-clerical, >50K
32, Private, HS-grad, Female,40, Other-service, <=50K
45, Private, 11th, Male,40, Craft-repair, <=50K
59, Private, Bachelors, Male,40, Exec-managerial, <=50K
31, Private, HS-grad, Female,35, Other-service, <=50K
40, Private, HS-grad, Female,37, Adm-clerical, <=50K
44, Private, Assoc-voc, Male,40, Tech-support, >50K
63, Private, Some-college, Female,60, Sales, <=50K
31, Local-gov, Some-college, Male,56, Protective-serv, >50K
51, Private, Bachelors, Male,20, Adm-clerical, <=50K
51, Private, 11th, Male,40, Machine-op-inspct, <=50K
23, Private, HS-grad, Male,40, Sales, <=50K
49, Private, 7th-8th, Male,48, Machine-op-inspct, <=50K
56, Private, HS-grad, Male,45, Craft-repair, <=50K
39, Private, HS-grad, Male,40, Craft-repair, >50K
39, Self-emp-not-inc, Prof-school, Male,50, Prof-specialty, >50K
30, Self-emp-not-inc, HS-grad, Female,40, Other-service, <=50K
43, Self-emp-not-inc, Bachelors, Male,50, Exec-managerial, <=50K
31, Private, Some-college, Male,50, Craft-repair, <=50K
44, Local-gov, Masters, Male,35, Prof-specialty, <=50K
43, Self-emp-not-inc, Prof-school, Male,30, Prof-specialty, >50K
37, Federal-gov, Doctorate, Male,72, Prof-specialty, >50K
41, Private, Some-college, Male,46, Adm-clerical, >50K
43, Private, HS-grad, Male,40, Adm-clerical, >50K
47, State-gov, Some-college, Male,40, Craft-repair, >50K
38, Self-emp-not-inc, Prof-school, Male,45, Prof-specialty, >50K
46, Private, Assoc-voc, Male,40, Machine-op-inspct, <=50K
19, State-gov, Some-college, Female,40, Other-service, <=50K
19, Private, 5th-6th, Male,50, Other-service, <=50K
24, Private, Bachelors, Male,45, Sales, >50K
39, Self-emp-inc, Some-college, Male,65, Farming-fishing, <=50K
37, Private, Assoc-voc, Female,30, Machine-op-inspct, <=50K
28, ?, Bachelors, Female,40, ?, <=50K
40, Private, HS-grad, Male,40, Craft-repair, <=50K
27, Private, Assoc-acdm, Female,40, Sales, <=50K
22, Private, HS-grad, Female,40, Adm-clerical, <=50K
21, Private, Some-college, Male,12, Handlers-cleaners, <=50K
32, Private, HS-grad, Female,40, Exec-managerial, <=50K
20, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
45, Private, Masters, Male,48, Transport-moving, >50K
46, Local-gov, Prof-school, Male,40, Protective-serv, >50K
46, Private, Assoc-voc, Female,45, Exec-managerial, <=50K
26, Private, Some-college, Male,44, Protective-serv, <=50K
47, Self-emp-not-inc, Bachelors, Male,60, Exec-managerial, <=50K
22, Private, Some-college, Female,10, Prof-specialty, <=50K
34, Self-emp-not-inc, HS-grad, Male,60, Exec-managerial, <=50K
49, Private, 1st-4th, Male,40, Craft-repair, <=50K
20, Private, Some-college, Male,25, Handlers-cleaners, <=50K
28, Private, HS-grad, Male,45, Machine-op-inspct, <=50K
30, Private, 11th, Male,40, Machine-op-inspct, <=50K
23, Private, HS-grad, Male,40, Craft-repair, <=50K
20, Private, 9th, Male,40, Priv-house-serv, <=50K
31, Private, Some-college, Male,55, Other-service, <=50K
46, Private, 1st-4th, Male,40, Machine-op-inspct, <=50K
42, Private, HS-grad, Female,40, Adm-clerical, <=50K
60, Self-emp-not-inc, 7th-8th, Male,40, Craft-repair, <=50K
30, Private, Bachelors, Male,50, Prof-specialty, <=50K
27, Private, Some-college, Male,48, Transport-moving, <=50K
20, Private, 9th, Female,32, Sales, <=50K
56, Self-emp-not-inc, Bachelors, Male,40, Prof-specialty, >50K
41, Private, Some-college, Male,60, Exec-managerial, >50K
61, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
47, Private, HS-grad, Female,40, Exec-managerial, >50K
60, Private, 9th, Male,37, Machine-op-inspct, <=50K
33, Private, 9th, Male,50, Machine-op-inspct, <=50K
40, ?, Some-college, Female,25, ?, <=50K
48, Private, Bachelors, Male,45, Prof-specialty, >50K
56, Private, HS-grad, Male,40, Handlers-cleaners, >50K
50, Private, Assoc-voc, Male,55, Transport-moving, >50K
57, Self-emp-not-inc, Masters, Male,40, Prof-specialty, >50K
20, Private, Some-college, Female,40, Adm-clerical, <=50K
46, Private, Assoc-voc, Female,36, Tech-support, <=50K
21, Private, Some-college, Female,40, Prof-specialty, <=50K
37, Private, HS-grad, Male,40, Exec-managerial, <=50K
42, Private, Some-college, Male,40, Tech-support, <=50K
20, Private, HS-grad, Female,30, Other-service, <=50K
54, Private, Doctorate, Male,50, Prof-specialty, >50K
32, Local-gov, HS-grad, Female,22, Transport-moving, <=50K
62, ?, Some-college, Female,1, ?, <=50K
50, Private, Some-college, Male,40, Craft-repair, >50K
49, Federal-gov, Some-college, Female,40, Adm-clerical, <=50K
48, Private, Assoc-acdm, Male,50, Transport-moving, <=50K
24, Private, Some-college, Female,40, Sales, <=50K
46, Private, Masters, Male,40, Tech-support, >50K
42, Private, HS-grad, Female,40, Other-service, <=50K
52, Self-emp-inc, Some-college, Male,40, Craft-repair, <=50K
58, Local-gov, Assoc-acdm, Female,40, Adm-clerical, <=50K
37, Private, Some-college, Female,40, Tech-support, <=50K
34, Private, HS-grad, Male,40, Craft-repair, <=50K
26, Private, Some-college, Male,40, Adm-clerical, <=50K
18, Private, Some-college, Female,20, Adm-clerical, <=50K
33, Private, Some-college, Male,40, Prof-specialty, <=50K
41, Private, Some-college, Female,15, Sales, <=50K
21, Private, Assoc-acdm, Female,20, Adm-clerical, <=50K
23, Private, Assoc-voc, Female,40, Tech-support, <=50K
26, Federal-gov, Some-college, Female,40, Tech-support, <=50K
33, Private, Bachelors, Female,40, Other-service, <=50K
24, Private, Some-college, Female,45, Exec-managerial, <=50K
43, Private, 10th, Male,42, Craft-repair, <=50K
52, State-gov, HS-grad, Female,40, Adm-clerical, <=50K
27, ?, Some-college, Female,40, ?, <=50K
61, Private, 7th-8th, Female,40, Other-service, <=50K
35, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
35, Private, HS-grad, Male,40, Craft-repair, >50K
45, Self-emp-inc, HS-grad, Male,55, Exec-managerial, >50K
43, Local-gov, HS-grad, Male,40, Exec-managerial, >50K
51, Private, HS-grad, Male,40, Protective-serv, >50K
35, Private, Bachelors, Male,40, Transport-moving, <=50K
47, Federal-gov, Bachelors, Male,45, Adm-clerical, >50K
22, Private, Some-college, Male,40, Adm-clerical, <=50K
49, Self-emp-inc, Assoc-voc, Male,60, Exec-managerial, >50K
20, Private, HS-grad, Male,20, Craft-repair, <=50K
19, Private, 10th, Female,40, Other-service, <=50K
27, Private, HS-grad, Male,40, Craft-repair, <=50K
42, Private, Assoc-acdm, Female,45, Prof-specialty, <=50K
27, ?, Some-college, Male,40, ?, <=50K
23, Self-emp-not-inc, Some-college, Male,35, Farming-fishing, <=50K
20, Private, Some-college, Female,10, Tech-support, <=50K
47, Private, HS-grad, Male,50, Transport-moving, <=50K
17, Private, 12th, Male,18, Other-service, <=50K
76, ?, 10th, Male,1, ?, <=50K
39, Private, Some-college, Female,40, Sales, <=50K
25, Private, 9th, Male,40, Machine-op-inspct, <=50K
31, Private, Assoc-voc, Female,43, Exec-managerial, <=50K
44, Private, HS-grad, Male,20, Transport-moving, <=50K
53, Private, Assoc-voc, Male,40, Exec-managerial, >50K
34, Private, Some-college, Male,45, Craft-repair, <=50K
45, Self-emp-not-inc, Some-college, Male,60, Exec-managerial, <=50K
34, Private, HS-grad, Male,45, Sales, <=50K
35, Private, Masters, Male,40, Sales, >50K
36, Private, Some-college, Male,48, Other-service, <=50K
45, Private, Some-college, Female,45, Other-service, <=50K
37, Self-emp-not-inc, Some-college, Male,60, Exec-managerial, <=50K
53, Private, Assoc-acdm, Male,40, Machine-op-inspct, >50K
35, Private, Masters, Female,50, Prof-specialty, >50K
38, Self-emp-not-inc, HS-grad, Male,70, Machine-op-inspct, <=50K
65, Self-emp-inc, Some-college, Male,40, Sales, <=50K
49, Self-emp-not-inc, 10th, Male,70, Farming-fishing, <=50K
24, Private, HS-grad, Male,40, Handlers-cleaners, <=50K
54, Private, Some-college, Male,40, Craft-repair, <=50K
17, Private, 10th, Female,12, Sales, <=50K
19, Private, 12th, Male,16, Other-service, <=50K
60, Private, HS-grad, Female,40, Machine-op-inspct, <=50K
46, Private, Bachelors, Male,35, Exec-managerial, >50K
78, ?, Masters, Female,15, ?, <=50K
26, Private, Some-college, Female,40, Exec-managerial, <=50K
58, Private, 1st-4th, Male,38, Other-service, <=50K
37, Self-emp-not-inc, HS-grad, Male,55, Exec-managerial, <=50K
41, Private, Masters, Male,38, Prof-specialty, >50K
30, Private, Bachelors, Male,40, Exec-managerial, <=50K
19, Private, Some-college, Female,30, Adm-clerical, <=50K
48, Private, Bachelors, Male,60, Exec-managerial, >50K
22, Private, Some-college, Female,24, Transport-moving, <=50K
50, Private, Masters, Male,60, Prof-specialty, <=50K
25, Private, 1st-4th, Female,40, Priv-house-serv, <=50K
18, Private, 10th, Male,6, Other-service, <=50K
21, Private, HS-grad, Male,40, Handlers-cleaners, <=50K
47, Private, Some-college, Male,50, Transport-moving, <=50K
33, Private, HS-grad, Female,36, Other-service, <=50K
39, Private, HS-grad, Male,40, Craft-repair, <=50K
67, Self-emp-not-inc, Bachelors, Male,8, Exec-managerial, >50K
19, Private, Some-college, Male,24, Other-service, <=50K
18, Private, 10th, Male,11, Other-service, <=50K
36, Private, HS-grad, Male,40, Adm-clerical, <=50K
23, Private, Some-college, Male,25, Machine-op-inspct, <=50K
25, ?, Some-college, Female,20, ?, <=50K
40, Private, Some-college, Male,40, Craft-repair, <=50K
73, Self-emp-not-inc, HS-grad, Male,40, Farming-fishing, <=50K
35, Private, Some-college, Male,40, Craft-repair, <=50K
31, Private, Assoc-acdm, Male,40, Craft-repair, >50K
20, Private, 10th, Male,40, Machine-op-inspct, <=50K
20, Private, HS-grad, Female,40, Adm-clerical, <=50K
27, Private, HS-grad, Male,40, Handlers-cleaners, <=50K
66, Self-emp-inc, 10th, Male,30, Sales, <=50K
66, Private, Masters, Male,50, Sales, <=50K
64, Private, Masters, Female,35, Prof-specialty, <=50K
48, Private, Some-college, Male,53, Transport-moving, <=50K
24, Private, Bachelors, Female,40, Prof-specialty, <=50K
51, Self-emp-not-inc, HS-grad, Male,60, Farming-fishing, <=50K
25, Private, Bachelors, Male,60, Craft-repair, >50K
33, Private, 11th, Female,20, Sales, <=50K
50, Private, HS-grad, Male,50, Machine-op-inspct, <=50K
51, Private, 7th-8th, Male,50, Craft-repair, <=50K
34, State-gov, Bachelors, Male,38, Prof-specialty, >50K
41, Local-gov, 7th-8th, Female,40, Other-service, <=50K
30, Self-emp-not-inc, Some-college, Male,40, Machine-op-inspct, <=50K
59, Private, Some-college, Male,40, Craft-repair, <=50K
41, Self-emp-not-inc, Some-college, Male,40, Machine-op-inspct, >50K
36, Self-emp-not-inc, Masters, Male,45, Sales, >50K
37, Private, 1st-4th, Male,85, Farming-fishing, <=50K
28, Private, HS-grad, Male,30, Other-service, <=50K
19, Private, HS-grad, Male,40, Craft-repair, <=50K
28, Private, Some-college, Male,45, Transport-moving, <=50K
62, Private, 10th, Male,40, Machine-op-inspct, <=50K
36, Private, Masters, Male,45, Sales, >50K
58, Self-emp-not-inc, 10th, Male,40, Craft-repair, <=50K
42, Self-emp-inc, HS-grad, Male,50, Sales, <=50K
43, Self-emp-inc, HS-grad, Male,40, Craft-repair, <=50K
29, Private, HS-grad, Male,40, Craft-repair, <=50K
32, State-gov, HS-grad, Male,50, Exec-managerial, <=50K
64, Local-gov, 9th, Male,40, Adm-clerical, <=50K
39, Private, Bachelors, Female,20, Prof-specialty, >50K
26, Private, Bachelors, Female,20, Sales, <=50K
19, Private, HS-grad, Male,30, Other-service, <=50K
21, Private, HS-grad, Female,45, Adm-clerical, <=50K
32, Private, Some-college, Female,40, Adm-clerical, <=50K
30, Local-gov, Assoc-acdm, Male,45, Protective-serv, <=50K
26, Private, Bachelors, Female,50, Adm-clerical, <=50K
20, Private, Some-college, Female,15, Adm-clerical, <=50K
19, Private, Some-college, Male,30, Transport-moving, <=50K
33, Federal-gov, Bachelors, Male,42, Adm-clerical, >50K
23, Private, Some-college, Male,40, Craft-repair, <=50K
29, Private, HS-grad, Male,45, Craft-repair, <=50K
42, Private, HS-grad, Female,40, Exec-managerial, <=50K
30, Self-emp-not-inc, HS-grad, Male,50, Sales, <=50K
63, Private, HS-grad, Female,20, Transport-moving, <=50K
34, Private, HS-grad, Male,40, Handlers-cleaners, <=50K
60, Self-emp-not-inc, Some-college, Male,24, Craft-repair, <=50K
48, Private, HS-grad, Male,50, Other-service, <=50K
25, Private, Bachelors, Male,50, Exec-managerial, <=50K
27, Private, Assoc-voc, Female,40, Adm-clerical, <=50K
55, Self-emp-not-inc, HS-grad, Male,55, Craft-repair, >50K
32, Private, Some-college, Female,40, Machine-op-inspct, <=50K
22, Private, Some-college, Male,25, Adm-clerical, <=50K
25, Private, HS-grad, Male,50, Exec-managerial, <=50K
18, Private, 11th, Female,16, Other-service, <=50K
24, Local-gov, Some-college, Female,44, Adm-clerical, <=50K
29, Private, Bachelors, Female,40, Exec-managerial, <=50K
73, ?, 11th, Male,3, ?, <=50K
39, Private, HS-grad, Male,40, Craft-repair, >50K
33, Self-emp-inc, Masters, Male,40, Craft-repair, <=50K
57, Private, HS-grad, Female,40, Machine-op-inspct, >50K
22, Private, 10th, Female,40, Other-service, <=50K
33, ?, HS-grad, Female,20, ?, <=50K
33, Private, HS-grad, Male,60, Transport-moving, <=50K
42, Private, HS-grad, Male,40, Craft-repair, <=50K
43, Private, Bachelors, Male,45, Prof-specialty, <=50K
57, Self-emp-not-inc, Some-college, Male,38, Tech-support, >50K
42, Private, Masters, Male,40, Prof-specialty, <=50K
22, Private, Some-college, Male,30, Transport-moving, <=50K
21, ?, Some-college, Female,35, ?, <=50K
42, Self-emp-not-inc, Bachelors, Male,50, Sales, >50K
39, Private, Some-college, Male,55, Sales, <=50K
41, Private, Some-college, Female,32, Prof-specialty, >50K
20, Local-gov, HS-grad, Male,40, Handlers-cleaners, <=50K
47, Private, Some-college, Male,40, Craft-repair, <=50K
44, Private, Some-college, Female,40, Adm-clerical, <=50K
29, Private, Bachelors, Female,40, Adm-clerical, <=50K
52, Private, Some-college, Female,16, Adm-clerical, >50K
71, Private, Some-college, Male,35, Sales, >50K
52, Private, HS-grad, Male,55, Craft-repair, <=50K
36, Private, HS-grad, Male,40, Sales, <=50K
53, Private, Some-college, Male,48, Craft-repair, >50K
37, Private, HS-grad, Female,30, Other-service, >50K
26, Private, 10th, Male,40, Handlers-cleaners, <=50K
34, Private, Bachelors, Male,55, Prof-specialty, >50K
35, Private, Bachelors, Male,50, Prof-specialty, >50K
20, Private, 9th, Female,40, Sales, <=50K
34, Local-gov, Some-college, Male,40, Craft-repair, <=50K
56, Self-emp-not-inc, Bachelors, Male,60, Exec-managerial, <=50K
39, Private, Bachelors, Female,36, Prof-specialty, >50K
24, Private, Some-college, Female,20, Tech-support, <=50K
24, Private, 11th, Female,35, Sales, <=50K
23, Private, Bachelors, Male,50, Prof-specialty, <=50K
27, Private, Bachelors, Male,45, Prof-specialty, <=50K
25, Private, HS-grad, Female,40, Adm-clerical, <=50K
29, Private, Some-college, Female,40, Adm-clerical, <=50K
42, Private, Some-college, Female,37, Machine-op-inspct, >50K
51, Private, HS-grad, Male,40, Craft-repair, <=50K
31, Private, Assoc-voc, Male,40, Craft-repair, <=50K
59, Private, 1st-4th, Male,40, Machine-op-inspct, <=50K
29, Private, HS-grad, Female,40, Other-service, <=50K
18, Private, HS-grad, Female,20, Adm-clerical, <=50K
24, Private, HS-grad, Female,36, Craft-repair, <=50K
38, State-gov, Some-college, Male,40, Exec-managerial, <=50K
36, Private, HS-grad, Female,28, Priv-house-serv, <=50K
34, Self-emp-not-inc, HS-grad, Male,50, Exec-managerial, <=50K
42, Self-emp-not-inc, Bachelors, Male,70, Exec-managerial, >50K
45, Self-emp-not-inc, 12th, Male,35, Craft-repair, <=50K
21, Private, Assoc-voc, Male,40, Transport-moving, <=50K
64, Self-emp-inc, Doctorate, Male,60, Prof-specialty, >50K
32, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
45, Private, Bachelors, Male,40, Prof-specialty, >50K
53, Private, 5th-6th, Male,40, Machine-op-inspct, <=50K
42, Private, HS-grad, Male,16, Craft-repair, <=50K
32, Private, HS-grad, Female,40, Other-service, <=50K
49, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
62, Private, 5th-6th, Male,24, Farming-fishing, <=50K
28, Private, Bachelors, Male,45, Exec-managerial, <=50K
29, ?, Doctorate, Male,50, ?, >50K
32, Private, HS-grad, Male,35, Farming-fishing, <=50K
37, Self-emp-inc, 10th, Male,50, Transport-moving, >50K
38, Private, Bachelors, Male,50, Exec-managerial, >50K
44, Local-gov, HS-grad, Male,25, Transport-moving, <=50K
19, Private, HS-grad, Male,40, Transport-moving, <=50K
22, ?, Some-college, Male,40, ?, <=50K
24, Private, Bachelors, Female,40, Prof-specialty, <=50K
58, Private, HS-grad, Male,50, Exec-managerial, >50K
56, Private, Bachelors, Female,40, Other-service, <=50K
37, Private, 10th, Female,40, Craft-repair, <=50K
43, Private, Some-college, Male,40, Machine-op-inspct, <=50K
32, Private, HS-grad, Male,40, Craft-repair, <=50K
34, Private, Bachelors, Female,40, Sales, <=50K
44, Private, 9th, Female,50, Other-service, <=50K
28, Private, HS-grad, Male,40, Handlers-cleaners, <=50K
35, Private, HS-grad, Female,35, Other-service, <=50K
38, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
26, Private, Some-college, Female,40, Tech-support, <=50K
20, Private, 11th, Male,60, Transport-moving, <=50K
24, Private, HS-grad, Male,60, Craft-repair, >50K
40, Private, HS-grad, Male,45, Craft-repair, <=50K
23, Private, HS-grad, Male,40, Craft-repair, <=50K
79, Local-gov, 11th, Male,7, Exec-managerial, <=50K
44, Private, 10th, Female,42, Adm-clerical, <=50K
51, Private, Masters, Female,50, Prof-specialty, >50K
30, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
52, Private, Assoc-acdm, Male,48, Sales, >50K
41, Private, Bachelors, Male,40, Exec-managerial, >50K
33, Private, 5th-6th, Male,40, Farming-fishing, <=50K
50, Private, Bachelors, Male,45, Exec-managerial, >50K
51, Private, Assoc-voc, Male,40, Tech-support, >50K
41, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
35, Private, Bachelors, Female,30, Sales, >50K
34, Private, Some-college, Male,40, Exec-managerial, >50K
28, Private, Bachelors, Male,45, Prof-specialty, <=50K
31, Self-emp-inc, Assoc-voc, Male,40, Sales, <=50K
22, Private, HS-grad, Male,40, Handlers-cleaners, <=50K
67, ?, HS-grad, Female,15, ?, <=50K
65, Private, HS-grad, Male,40, Sales, >50K
39, Self-emp-not-inc, HS-grad, Male,50, Sales, >50K
23, Private, Some-college, Male,40, Tech-support, <=50K
29, Self-emp-not-inc, Assoc-acdm, Male,50, Sales, <=50K
57, Self-emp-not-inc, 10th, Male,60, Exec-managerial, >50K
47, Private, Some-college, Female,35, Other-service, <=50K
51, Local-gov, HS-grad, Male,60, Transport-moving, <=50K
